CCAA;ANYO;EVIDA_H;EVIDA_M;EVIDA_T;GASTO_PROTG;GASTO_TOT;EVH_ME;EVM_ME;EVT_ME;GASTO_POBT;EVH_AG;
Balears, Illes (IB);2006;77,80;84,32;81,02;1115,02;1092;1;1;1;1;1;
Canarias (CN);2006;76,52;83,14;79,77;1213,88;1206;1;1;1;1;1;
Cantabria (CB);2006;77,54;84,68;81,13;1402,78;1358;1;2;1;2;2;
Castilla - La Mancha (CM);2006;79,08;84,68;81,84;1299,49;1234;2;2;2;2;2;
Castilla y León (CL);2006;79,01;85,53;82,24;1339,24;1264;2;2;2;2;2;
Cataluña (CT);2006;78,17;84,81;81,52;1158,18;1140;2;2;2;1;1;
Comunitat Valenciana (VC);2006;77,56;83,72;80,64;1105,76;1081;1;1;1;1;1;
Extremadura (EX);2006;77,27;84,08;80,61;1323,09;1251;1;1;1;2;2;
Galicia (GA);2006;77,34;84,60;81,00;1228,69;1182;1;2;1;1;1;
La Rioja (RI);2006;78,59;85,79;82,11;1553,20;1495;2;2;2;2;2;
Madrid, Comunidad de (MD);2006;78,91;85,48;82,37;1089,19;1023;2;2;2;1;1;
Murcia, Región de (MC);2006;77,41;83,45;80,39;1211,02;1146;1;1;1;1;1;
Navarra, C. Foral de (NC);2006;78,80;86,01;82,38;1281,23;1263;2;2;2;2;2;
País Vasco (PV);2006;78,09;85,40;81,78;1292,81;1266;2;2;2;2;2;
Andalucía (AN);2007;76,70;82,85;79,77;1163,55;1101;1;1;1;1;1;
Aragón (AR);2007;78,36;85,07;81,64;1418,78;1328;2;2;2;2;2;
Asturias, Principado de (AS);2007;76,83;84,15;80,52;1365,27;1333;1;1;1;2;2;
Balears, Illes (IB);2007;78,50;84,48;81,48;1213,95;1180;2;1;2;1;1;
Canarias (CN);2007;76,83;83,23;79,96;1291,94;1275;1;1;1;1;1;
Cantabria (CB);2007;77,54;84,78;81,16;1496,35;1441;1;2;1;2;2;
Castilla - La Mancha (CM);2007;78,95;84,26;81,57;1366,68;1290;2;1;2;2;1;
Castilla y León (CL);2007;78,97;85,49;82,18;1295,50;1215;2;2;2;1;1;
Cataluña (CT);2007;78,26;84,78;81,55;1272,18;1240;2;2;2;1;1;
Comunitat Valenciana (VC);2007;77,61;83,76;80,68;1186,84;1148;1;1;1;1;1;
Extremadura (EX);2007;77,52;83,85;80,63;1490,83;1406;1;1;1;2;2;
Galicia (GA);2007;77,45;84,70;81,10;1312,86;1260;1;2;1;1;1;
La Rioja (RI);2007;78,15;85,68;81,78;1876,75;1781;2;2;2;2;2;
Madrid, Comunidad de (MD);2007;78,97;85,48;82,39;1183,95;1102;2;2;2;1;1;
Murcia, Región de (MC);2007;77,39;83,59;80,45;1326,09;1250;1;1;1;1;1;
Navarra, C. Foral de (NC);2007;79,12;85,94;82,52;1395,45;1356;2;2;2;2;2;
País Vasco (PV);2007;78,13;84,99;81,61;1438,71;1405;2;2;2;2;2;
Andalucía (AN);2008;77,06;83,13;80,09;1326,81;1262;1;1;1;1;1;
Aragón (AR);2008;79,29;84,93;82,09;1510,75;1420;2;2;2;2;2;
Asturias, Principado de (AS);2008;77,17;84,59;80,90;1479,58;1444;1;1;1;2;2;
Balears, Illes (IB);2008;78,50;84,31;81,39;1263,13;1241;2;1;1;1;1;
Canarias (CN);2008;76,99;83,22;80,05;1432,24;1420;1;1;1;1;2;
Cantabria (CB);2008;78,31;85,25;81,80;1378,09;1330;1;2;2;1;1;
Castilla - La Mancha (CM);2008;79,18;84,95;82,01;1496,69;1428;2;2;2;2;2;
Castilla y León (CL);2008;79,49;85,67;82,54;1507,28;1422;2;2;2;2;2;
Cataluña (CT);2008;78,77;84,90;81,88;1370,79;1338;2;2;2;1;1;
Comunitat Valenciana (VC);2008;78,17;84,05;81,11;1263,54;1237;1;1;1;1;1;
Extremadura (EX);2008;78,21;84,39;81,26;1606,23;1520;1;1;1;2;2;
Galicia (GA);2008;78,04;85,09;81,59;1436,24;1380;1;2;2;1;1;
La Rioja (RI);2008;79,09;85,20;82,10;1541,60;1477;2;2;2;2;2;
Madrid, Comunidad de (MD);2008;79,57;85,99;82,96;1256,86;1185;2;2;2;1;1;
Murcia, Región de (MC);2008;77,94;83,21;80,57;1576,88;1489;1;1;1;2;2;
Navarra, C. Foral de (NC);2008;79,43;85,79;82,60;1509,46;1473;2;2;2;2;2;
País Vasco (PV);2008;78,57;85,45;82,05;1578,20;1542;2;2;2;2;2;
Andalucía (AN);2009;77,48;83,59;80,53;1306,36;1246;1;1;1;1;1;
Aragón (AR);2009;79,22;85,53;82,33;1609,29;1526;2;2;2;2;2;
Asturias, Principado de (AS);2009;77,84;84,59;81,26;1659,99;1624;1;1;1;2;2;
Balears, Illes (IB);2009;78,53;84,16;81,33;1343,39;1323;1;1;1;1;1;
Canarias (CN);2009;78,48;83,94;81,20;1480,73;1472;1;1;1;1;2;
Cantabria (CB);2009;78,62;85,83;82,24;1429,05;1384;1;2;2;1;1;
Castilla - La Mancha (CM);2009;79,91;85,39;82,60;1618,97;1556;2;2;2;2;2;
Castilla y León (CL);2009;79,99;86,21;83,06;1469,62;1390;2;2;2;1;1;
Cataluña (CT);2009;79,09;85,19;82,20;1440,05;1414;2;2;2;1;1;
