CCAA;ANYO;EVIDA_H;EVIDA_M;EVIDA_T;GASTO_PROTG;GASTO_TOT;EVH_ME;EVM_ME;EVT_ME;GASTO_POBT;EVH_AG;
Navarra, C. Foral de (NC);2019;82,37;87,41;84,93;1738,38;1686;2;2;2;2;2;
País Vasco (PV);2019;81,28;87,39;84,41;1815,72;1819;2;2;2;2;2;
Andalucía (AN);2020;78,99;84,40;81,68;1459,43;1401;1;1;1;1;1;
Aragón (AR);2020;79,70;84,91;82,28;1793,57;1765;1;1;1;2;2;
Asturias, Principado de (AS);2020;79,10;85,03;82,11;1913,34;1894;1;1;1;2;2;
Balears, Illes (IB);2020;81,37;86,29;83,83;1679,24;1625;2;2;2;1;1;
Canarias (CN);2020;80,81;85,89;83,34;1774,51;1664;2;2;2;2;1;
Cantabria (CB);2020;80,43;85,73;83,13;1856,34;1796;2;2;2;2;2;
Castilla - La Mancha (CM);2020;78,35;83,70;80,92;1797,19;1695;1;1;1;2;1;
Castilla y León (CL);2020;79,61;85,20;82,31;1936,35;1864;1;1;1;2;2;
Cataluña (CT);2020;79,39;84,85;82,14;1861,06;1743;1;1;1;2;2;
Comunitat Valenciana (VC);2020;79,90;85,24;82,57;1692,32;1579;2;1;2;1;1;
Extremadura (EX);2020;79,05;84,57;81,74;1831,38;1770;1;1;1;2;2;
Galicia (GA);2020;80,57;86,64;83,64;1755,68;1702;2;2;2;1;1;
La Rioja (RI);2020;79,53;85,42;82,41;1626,89;1589;1;2;1;1;1;
Madrid, Comunidad de (MD);2020;79,24;84,84;82,13;1521,86;1498;1;1;1;1;1;
Murcia, Región de (MC);2020;79,68;85,17;82,40;1810,34;1764;1;1;1;2;2;
Navarra, C. Foral de (NC);2020;80,66;85,93;83,29;1908,00;1845;2;2;2;2;2;
País Vasco (PV);2020;80,38;86,25;83,37;1947,58;1954;2;2;2;2;2;
Andalucía (AN);2021;78,87;84,36;81,60;1555,81;1496;1;1;1;1;1;
Aragón (AR);2021;80,58;86,25;83,40;1890,15;1869;2;1;1;2;2;
Asturias, Principado de (AS);2021;80,10;85,55;82,91;1984,66;1969;1;1;1;2;2;
Balears, Illes (IB);2021;81,05;86,33;83,68;1739,16;1696;2;2;2;1;1;
Canarias (CN);2021;80,68;85,80;83,22;1887,50;1787;2;1;1;2;1;
Cantabria (CB);2021;80,84;87,04;83,97;1924,91;1863;2;2;2;2;2;
Castilla - La Mancha (CM);2021;80,41;86,11;83,18;1893,88;1790;1;1;1;2;1;
Castilla y León (CL);2021;81,17;87,49;84,25;1946,40;1881;2;2;2;2;2;
Cataluña (CT);2021;80,62;86,55;83,62;1886,25;1812;2;2;2;2;2;
Comunitat Valenciana (VC);2021;79,60;85,24;82,41;1767,39;1650;1;1;1;1;1;
Extremadura (EX);2021;79,34;85,32;82,25;1953,46;1889;1;1;1;2;2;
Galicia (GA);2021;80,65;86,90;83,79;1826,53;1777;2;2;2;1;1;
La Rioja (RI);2021;80,42;86,22;83,29;1670,95;1642;1;1;1;1;1;
Madrid, Comunidad de (MD);2021;82,08;88,17;85,28;1558,07;1541;2;2;2;1;1;
Murcia, Región de (MC);2021;79,65;84,95;82,28;1946,13;1903;1;1;1;2;2;
Navarra, C. Foral de (NC);2021;81,86;87,63;84,74;1985,07;1928;2;2;2;2;2;
País Vasco (PV);2021;80,98;86,93;84,02;2025,62;2048;2;2;2;2;2;
Andalucía (AN);2022;79,19;84,62;81,90;1595,11;1533;1;1;1;1;1;
Aragón (AR);2022;80,16;85,90;83,01;1923,08;1908;1;2;1;2;2;
Asturias, Principado de (AS);2022;79,61;85,20;82,48;2071,06;2057;1;1;1;2;2;
Balears, Illes (IB);2022;80,21;85,68;82,93;1784,49;1732;1;1;1;1;1;
Canarias (CN);2022;79,41;84,58;81,98;1967,69;1865;1;1;1;2;2;
Cantabria (CB);2022;80,38;85,55;83,02;1979,49;1917;2;1;1;2;2;
Castilla - La Mancha (CM);2022;80,98;86,72;83,38;1878,98;1773;2;2;2;1;1;
Castilla y León (CL);2022;80,89;85,95;83,80;2031,26;1963;2;2;2;2;2;
Cataluña (CT);2022;80,83;86,32;83,63;1938,03;1853;2;2;2;2;2;
Comunitat Valenciana (VC);2022;79,89;85,24;82,57;1801,16;1678;1;1;1;1;1;
Extremadura (EX);2022;79,76;85,21;82,43;2013,97;1951;1;1;1;2;2;
Galicia (GA);2022;80,47;86,20;83,37;1883,79;1832;2;2;2;1;1;
La Rioja (RI);2022;80,41;86,16;83,25;1748,32;1714;2;2;2;1;1;
Madrid, Comunidad de (MD);2022;82,32;87,70;85,18;1640,90;1625;2;2;2;1;1;
Murcia, Región de (MC);2022;79,31;84,80;82,03;1996,47;1960;1;1;1;2;2;
Navarra, C. Foral de (NC);2022;81,02;86,80;83,90;2031,77;1967;2;2;2;2;2;
País Vasco (PV);2022;80,77;86,33;83,62;2120,21;2142;2;2;2;2;2;
